PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Deck,FamilySize,FsizeD,NameLength,NlengthD,Title,TicketNumber
55,0,1,"Ostby, Mr. Engelhart Cornelius",1,2.565566276126945,0,1,113509,0.5995101505357573,B30,0,1,2,2,30,2,2,113509.0
56,1,1,"Woolner, Mr. Hugh",1,1.4117987843274917,0,0,19947,0.06635974158478332,C52,2,2,1,1,17,3,2,19947.0
57,1,2,"Rugg, Miss. Emily",0,-0.6336377721566364,0,0,C.A. 31026,-0.43700743807979686,,2,8,1,1,17,3,1,31026.0
58,0,3,"Novel, Mr. Mansouer",1,-0.08831890029011681,0,0,2697,-0.5028639729296732,,0,8,1,1,19,3,2,2697.0
59,1,2,"West, Miss. Constance Mirium",0,-1.7969846988052112,1,2,C.A. 34651,-0.08968408411123653,,2,8,4,2,28,2,1,34651.0
60,0,3,"Goodwin, Master. William Frederick",1,-1.3607296013119956,5,2,CA 2144,0.2958951755118318,,2,8,8,0,34,2,0,2144.0
61,0,3,"Sirayanian, Mr. Orsen",1,-0.5609285892411005,0,0,2669,-0.5028639729296732,,0,8,1,1,21,2,2,2669.0
62,1,1,"Icard, Miss. Amelie",0,0.6024183374074746,0,0,113572,0.962353321387736,B28,0,1,1,1,19,3,1,113572.0
63,0,1,"Harris, Mr. Henry Birkhardt",1,1.1113826178162263,1,0,36973,1.0323213593611125,C83,2,2,2,2,27,2,2,36973.0
64,0,3,"Skoog, Master. Harald",1,-1.8696938817207471,3,2,347088,-0.08666388103324908,,2,8,6,0,21,2,0,347088.0
65,0,1,"Stewart, Mr. Albert A",1,1.1400118585892183,0,0,PC 17605,-0.09027201697708476,,0,8,1,1,21,2,2,17605.0
66,1,3,"Moubarek, Master. Gerios",1,-1.9802357126007515,1,1,2661,-0.3414522396297103,,0,8,3,2,24,2,0,2661.0
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",0,-0.05196430883234885,0,0,C.A. 29395,-0.43700743807979686,F33,2,5,1,1,28,2,3,29395.0
68,0,3,"Crease, Mr. Ernest James",1,-0.7790561379877082,0,0,S.P. 3464,-0.4841568350646187,,2,8,1,1,24,2,2,3464.0
69,1,3,"Andersson, Miss. Erna Alexandra",0,-0.92447450381878,4,2,3101281,-0.4888542575852486,,2,8,7,0,31,2,1,3101281.0
70,0,3,"Kink, Mr. Vincenz",1,-0.2700918575789567,2,0,315151,-0.47400492578514347,,2,8,3,2,17,3,2,315151.0
71,0,2,"Jenkin, Mr. Stephen Curnow",1,0.166163239914259,0,0,C.A. 33111,-0.43700743807979686,,2,8,1,1,26,2,2,33111.0
72,0,3,"Goodwin, Miss. Lillian Amy",0,-0.997183686734316,5,2,CA 2144,0.2958951755118318,,2,8,8,0,26,2,1,2144.0
73,0,2,"Hood, Mr. Ambrose Jr",1,-0.6336377721566364,0,0,S.O.C. 14879,0.8314778546749452,,2,8,1,1,20,3,2,14879.0
74,0,3,"Chronopoulos, Mr. Apostolos",1,-0.2700918575789567,1,0,2680,-0.3573908580066095,,0,8,2,2,27,2,2,2680.0
75,1,3,"Bing, Mr. Lee",1,0.166163239914259,0,0,1601,0.48910360681684706,,2,8,1,1,13,3,2,1601.0
76,0,3,"Moen, Mr. Sigurd Hansen",1,-0.3428010404944926,0,0,348123,-0.494391296561559,F G73,2,5,1,1,23,2,2,348123.0
77,0,3,"Staneff, Mr. Ivan",1,-0.41609189687335274,0,0,349208,-0.4894421904510968,,2,8,1,1,17,3,2,349208.0
78,0,3,"Moutal, Mr. Rahamin Haim",1,0.41012072589161075,0,0,374746,-0.4863374216869257,,2,8,1,1,24,2,2,374746.0
79,1,2,"Caldwell, Master. Alden Gates",1,-2.1001819915629967,0,2,248738,-0.06451572512800753,,2,8,3,2,29,2,0,248738.0
80,1,3,"Dowdell, Miss. Elizabeth",0,0.020744874083187096,0,0,364516,-0.397241430886295,,2,8,1,1,24,2,1,364516.0
81,0,3,"Waelens, Mr. Achille",1,-0.5609285892411005,0,0,345767,-0.46720946885967163,,2,8,1,1,20,3,2,345767.0
82,1,3,"Sheerlinck, Mr. Jan Baptist",1,-0.05196430883234885,0,0,345779,-0.45714212526638004,,2,8,1,1,27,2,2,345779.0
83,1,3,"McDermott, Miss. Brigdet Delia",0,-0.8789040234264679,0,0,330932,-0.49162277707340374,,1,8,1,1,30,2,1,330932.0
84,0,1,"Carrau, Mr. Francisco M",1,-0.12467349174788478,0,0,113059,0.29992211294914856,,2,8,1,1,23,2,2,113059.0
85,1,2,"Ilett, Miss. Bertha",0,-0.92447450381878,0,0,SO/C 14885,-0.43700743807979686,,2,8,1,1,19,3,1,14885.0
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,0.23887242282979493,3,0,3101278,-0.32928686163157667,,2,8,4,2,55,0,3,3101278.0
87,0,3,"Ford, Mr. William Neal",1,-0.997183686734316,1,3,W./C. 6608,0.04370821849987719,,2,8,5,0,22,2,2,6608.0
88,0,3,"Slocovski, Mr. Selman Francis",1,-0.4636800570915712,0,0,SOTON/OQ 392086,-0.4863374216869257,,2,8,1,1,29,2,2,392086.0
89,1,1,"Fortune, Miss. Mabel Helen",0,-0.4882194063255645,3,2,19950,4.647001076532463,C23 C25 C27,2,2,6,0,26,2,1,19950.0
90,0,3,"Celotti, Mr. Francesco",1,-0.4155102234100285,0,0,343275,-0.4863374216869257,,2,8,1,1,22,2,2,343275.0
91,0,3,"Christmann, Mr. Emil",1,-0.05196430883234885,0,0,343276,-0.4863374216869257,,2,8,1,1,20,3,2,343276.0
92,0,3,"Andreasson, Mr. Paul Edvin",1,-0.7063469550721723,0,0,347466,-0.4902797934380587,,2,8,1,1,26,2,2,347466.0
93,0,1,"Chaffee, Mr. Herbert Fuller",1,1.1840918007317622,1,0,W.E.P. 5734,0.5833178351003071,E31,2,4,2,2,27,2,2,5734.0
94,0,3,"Dean, Mr. Bertram Frank",1,-0.2700918575789567,1,2,C.A. 2315,-0.23415046467497105,,2,8,4,2,23,2,2,2315.0
95,0,3,"Coxon, Mr. Daniel",1,2.129311178633729,0,0,364500,-0.5024451714361923,,2,8,1,1,17,3,2,364500.0
96,0,3,"Shorney, Mr. Charles Joseph",1,0.011674403514474073,0,0,374910,-0.4863374216869257,,2,8,1,1,27,2,2,374910.0
97,0,1,"Goldschmidt, Mr. George B",1,3.00182137362016,0,0,PC 17754,0.04932982316237128,A5,0,0,1,1,25,2,2,17754.0
98,1,1,"Greenfield, Mr. William Bertram",1,-0.4882194063255645,0,1,PC 17759,0.6272778976347743,D10 D12,0,3,2,2,31,2,2,17759.0
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",0,0.31158160574533084,0,1,231919,-0.18532384824750675,,2,8,2,2,36,2,3,231919.0
100,0,2,"Kantor, Mr. Sinai",1,0.31158160574533084,1,0,244367,-0.12491978668775715,,2,8,2,2,17,3,2,244367.0
101,0,3,"Petranec, Miss. Matilda",0,-0.12467349174788478,0,0,349245,-0.4894421904510968,,2,8,1,1,23,2,1,349245.0
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",1,-0.182459114870007,0,0,349215,-0.4894421904510968,,2,8,1,1,32,2,2,349215.0
103,0,1,"White, Mr. Richard Frasar",1,-0.6336377721566364,0,1,35281,0.907737982394129,D26,2,3,2,2,25,2,2,35281.0
104,0,3,"Johansson, Mr. Gustaf Joel",1,0.23887242282979493,0,0,7540,-0.4741720436887921,,2,8,1,1,26,2,2,7540.0
105,0,3,"Gustafsson, Mr. Anders Vilhelm",1,0.5297091544919387,2,0,3101276,-0.4888542575852486,,2,8,3,2,30,2,2,3101276.0
106,0,3,"Mionoff, Mr. Stoytcho",1,-0.12467349174788478,0,0,349207,-0.4894421904510968,,2,8,1,1,21,2,2,349207.0
107,1,3,"Salkjelsvik, Miss. Anna Kristine",0,-0.6336377721566364,0,0,343120,-0.494391296561559,,2,8,1,1,32,2,1,343120.0
108,1,3,"Moss, Mr. Albert Johan",1,-0.3884563482668727,0,0,312991,-0.4918744606632361,,2,8,1,1,22,2,2,312991.0
109,0,3,"Rekic, Mr. Tido",1,0.6024183374074746,0,0,349249,-0.4894421904510968,,2,8,1,1,15,3,2,349249.0
110,1,3,"Moran, Miss. Bertha",0,-0.5481681276394239,1,0,371110,-0.1621689579829361,,1,8,2,2,19,3,1,371110.0
111,0,1,"Porter, Mr. Walter Chamberlain",1,1.2568009836472982,0,0,110465,0.39858208016340624,C110,2,2,1,1,30,2,2,110465.0
112,0,3,"Zabour, Miss. Hileni",0,-1.1062474611076198,1,0,2665,-0.3573908580066095,,0,8,2,2,20,3,1,2665.0
113,0,3,"Barton, Mr. David John",1,-0.5609285892411005,0,0,324669,-0.4863374216869257,,2,8,1,1,22,2,2,324669.0
114,0,3,"Jussila, Miss. Katriina",0,-0.7063469550721723,1,0,4136,-0.4505983519307405,,2,8,2,2,23,2,1,4136.0
115,0,3,"Attalah, Miss. Malake",0,-0.92447450381878,0,0,2627,-0.3573083057891445,,0,8,1,1,21,2,1,2627.0
116,0,3,"Pekoniemi, Mr. Edvard",1,-0.6336377721566364,0,0,STON/O 2. 3101294,-0.4888542575852486,,2,8,1,1,21,2,2,3101294.0
117,0,3,"Connors, Mr. Patrick",1,2.9654667821623923,0,0,370369,-0.49237782784290063,,1,8,1,1,20,3,2,370369.0
118,0,2,"Turpin, Mr. William John Robert",1,-0.05196430883234885,1,0,11668,-0.22559322262067316,,2,8,2,2,31,2,2,11668.0
119,0,1,"Baxter, Mr. Quigg Edmond",1,-0.4155102234100285,0,1,PC 17558,4.335332226633905,B58 B60,0,1,2,2,24,2,2,17558.0
120,0,3,"Andersson, Miss. Ellis Anna Maria",0,-2.0151122475518193,4,2,347082,-0.01870931177853077,,2,8,7,0,33,2,1,347082.0
121,0,2,"Hickman, Mr. Stanley George",1,-0.6336377721566364,2,0,S.O.C. 14879,0.8314778546749452,,2,8,3,2,27,2,2,14879.0
122,0,3,"Moore, Mr. Leonard Charles",1,-0.5573294846867816,0,0,A4. 54510,-0.4863374216869257,,2,8,1,1,26,2,2,54510.0
123,0,2,"Nasser, Mr. Nicholas",1,0.20251783137202695,1,0,237736,-0.04295550208861428,,0,8,2,2,20,3,2,237736.0
124,1,2,"Webber, Miss. Susan",0,0.20251783137202695,0,0,27267,-0.3866707201133388,E101,2,4,1,1,19,3,1,27267.0
125,0,1,"White, Mr. Percival Wayland",1,1.7657652640560497,0,1,35281,0.907737982394129,D26,2,3,2,2,27,2,2,35281.0
126,1,3,"Nicola-Yarred, Master. Elias",1,-1.2880204183964596,1,0,2651,-0.42207354059350805,,0,8,2,2,28,2,0,2651.0
127,0,3,"McMahon, Mr. Martin",1,1.4055457945967555,0,0,370372,-0.49237782784290063,,1,8,1,1,19,3,2,370372.0
128,1,3,"Madsen, Mr. Fridtjof Arne",1,-0.4155102234100285,0,0,C 17369,-0.5046257580584992,,2,8,1,1,25,2,2,17369.0
129,1,3,"Peter, Miss. Anna",0,-1.8029598182752382,1,1,2668,-0.19824427701513722,F E69,0,5,3,2,17,3,1,2668.0
130,0,3,"Ekstrom, Mr. Johan",1,1.1113826178162263,0,0,347061,-0.5079822104125026,,2,8,1,1,18,3,2,347061.0
131,0,3,"Drazenoic, Mr. Jozef",1,0.23887242282979493,0,0,349241,-0.4894421904510968,,0,8,1,1,20,3,2,349241.0
132,0,3,"Coelho, Mr. Domingos Fernandeo",1,-0.7063469550721723,0,0,SOTON/O.Q. 3101307,-0.5064721088735089,,2,8,1,1,30,2,2,3101307.0
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,1.2568009836472982,1,0,A/5. 3337,-0.35646868933346404,,2,8,2,2,46,0,3,3337.0
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,-0.05196430883234885,1,0,228414,-0.12491978668775715,,2,8,2,2,45,0,3,228414.0
135,0,2,"Sobey, Mr. Samuel James Hayden",1,-0.3428010404944926,0,0,C.A. 29178,-0.3866707201133388,,2,8,1,1,30,2,2,29178.0
136,0,2,"Richard, Mr. Emile",1,-0.4882194063255645,0,0,SC/PARIS 2133,-0.3454791770670269,,0,8,1,1,18,3,2,2133.0
137,1,1,"Newsom, Miss. Helen Monypeny",0,-0.7790561379877082,0,2,11752,-0.11921562980779811,D47,2,3,3,2,28,2,1,11752.0
138,0,1,"Futrelle, Mr. Jacques Heath",1,0.5297091544919387,1,0,113803,0.4207302360686478,C123,2,2,2,2,27,2,2,113803.0
139,0,3,"Osen, Mr. Olaf Elon",1,-0.997183686734316,0,0,7534,-0.4628462821463391,,2,8,1,1,19,3,2,7534.0
140,0,1,"Giglio, Mr. Victor",1,-0.4155102234100285,0,0,PC 17593,0.9462455716384695,B86,0,1,1,1,18,3,2,17593.0
141,0,3,"Boulos, Mrs. Joseph (Sultana)",0,0.21387864120257943,0,2,2678,-0.3414522396297103,,0,8,3,2,29,2,3,2678.0
142,1,3,"Nysten, Miss. Anna Sofia",0,-0.5609285892411005,0,0,347081,-0.49237782784290063,,2,8,1,1,24,2,1,347081.0
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,-0.4155102234100285,1,0,STON/O2. 3101279,-0.32928686163157667,,2,8,2,2,52,0,3,3101279.0
144,0,3,"Burke, Mr. Jeremiah",1,-0.7790561379877082,0,0,365222,-0.5125125150294839,,1,8,1,1,19,3,2,365222.0
145,0,2,"Andrew, Mr. Edgardo Samuel",1,-0.8517653209032442,0,0,231945,-0.41687275089321363,,2,8,1,1,26,2,2,231945.0
146,0,2,"Nicholls, Mr. Joseph Charles",1,-0.7790561379877082,1,1,C.A. 33112,0.09152810056801232,,2,8,3,2,28,2,2,33112.0
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,-0.1973826746634207,0,0,350043,-0.49145565916975514,,2,8,1,1,44,0,2,350043.0
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",0,-1.5061479671430675,2,2,W./C. 6608,0.04370821849987719,,2,8,5,0,32,2,1,6608.0
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,0.49335456303417063,0,2,230080,-0.12491978668775715,F2,2,5,3,2,40,2,2,230080.0
150,0,2,"Byles, Rev. Thomas Roussel Davids",1,0.8932550690696183,0,0,244310,-0.3866707201133388,,2,8,1,1,33,2,4,244310.0
151,0,2,"Bateman, Rev. Robert James",1,1.5476377153094418,0,0,S.O.P. 1166,-0.39623469652696586,,2,8,1,1,26,2,4,1166.0
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",0,-0.5609285892411005,1,0,113776,0.6925485130875209,C2,2,2,2,2,33,2,3,113776.0
153,0,3,"Meo, Mr. Alfonzo",1,1.8748290384293536,0,0,A.5. 11206,-0.4863374216869257,,2,8,1,1,16,3,2,11206.0
154,0,3,"van Billiard, Mr. Austin Blyler",1,0.7841912946963144,0,2,A/5. 851,-0.35646868933346404,,2,8,3,2,31,2,2,851.0
155,0,3,"Olsen, Mr. Ole Martin",1,-0.16861710417246187,0,0,Fa 265302,-0.5011867534870308,,2,8,1,1,21,2,2,265302.0
156,0,1,"Williams, Mr. Charles Duane",1,1.5476377153094418,0,1,PC 17597,0.5874293382238074,,0,8,2,2,27,2,2,17597.0
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",0,-0.997183686734316,0,0,35851,-0.49271407711891657,,1,8,1,1,32,2,1,35851.0
158,0,3,"Corn, Mr. Harry",1,0.020744874083187096,0,0,SOTON/OQ 392090,-0.4863374216869257,,2,8,1,1,15,3,2,392090.0
159,0,3,"Smiljanic, Mr. Mile",1,-0.5284487913228729,0,0,315037,-0.47400492578514347,,2,8,1,1,19,3,2,315037.0
160,0,3,"Sage, Master. Thomas Henry",1,-1.227988445068165,8,2,CA. 2343,0.7519458402879414,,2,8,11,0,26,2,0,2343.0
161,0,3,"Cribb, Mr. John Hatfield",1,1.0386734349006903,0,1,371362,-0.32425318983493084,,2,8,2,2,24,2,2,371362.0
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,0.7478367032385465,0,0,C.A. 33595,-0.331300330350235,,2,8,1,1,50,0,3,33595.0
163,0,3,"Bengtsson, Mr. John Viktor",1,-0.2700918575789567,0,0,347068,-0.4918744606632361,,2,8,1,1,26,2,2,347068.0
164,0,3,"Calic, Mr. Jovo",1,-0.92447450381878,0,0,315093,-0.47400492578514347,,2,8,1,1,15,3,2,315093.0
165,0,3,"Panula, Master. Eino Viljami",1,-2.0878214304673555,4,1,3101295,0.1506737441786005,,2,8,6,0,28,2,0,3101295.0
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",1,-1.5061479671430675,0,2,363291,-0.2351571990343002,,2,8,3,2,47,0,0,363291.0
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",0,0.7493090641925858,0,1,113505,0.4589861417231558,E33,2,4,2,2,38,2,3,113505.0
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,1.1113826178162263,1,4,347088,-0.08666388103324908,,2,8,6,0,47,0,3,347088.0
169,0,1,"Baumann, Mr. John D",1,1.2771959094551062,0,0,PC 17318,-0.12642988822675086,,2,8,1,1,19,3,2,17318.0
170,0,3,"Ling, Mr. Lee",1,-0.12467349174788478,0,0,1601,0.48910360681684706,,2,8,1,1,13,3,2,1601.0
171,0,1,"Van der hoef, Mr. Wyckoff",1,2.274729544464801,0,0,111240,0.026090367211616894,B19,2,1,1,1,25,2,2,111240.0
172,0,3,"Rice, Master. Arthur",1,-1.8696938817207471,4,1,382652,-0.06199888922968465,,1,8,6,0,20,3,0,382652.0
173,1,3,"Johnson, Miss. Eleanor Ileen",0,-2.0878214304673555,1,1,347742,-0.4242561406845337,,2,8,3,2,28,2,1,347742.0
174,0,3,"Sivola, Mr. Antti Wilhelm",1,-0.6336377721566364,0,0,STON/O 2. 3101280,-0.4888542575852486,,2,8,1,1,25,2,2,3101280.0
175,0,1,"Smith, Mr. James Clinch",1,1.9111836298871214,0,0,17764,-0.030371322596999765,A7,0,0,1,1,23,2,2,17764.0
176,0,3,"Klasen, Mr. Klas Albin",1,-0.8517653209032442,1,1,350404,-0.4902797934380587,,2,8,3,2,22,2,2,350404.0
177,0,3,"Lefebre, Master. Henry Forbes",1,-1.8443502996768673,3,1,4133,-0.13565761536436197,,2,8,5,0,29,2,0,4133.0
178,0,1,"Isham, Miss. Ann Elizabeth",0,1.4749285323939059,0,0,PC 17595,-0.07030444769415023,C49,0,2,1,1,26,2,1,17595.0
179,0,2,"Hale, Mr. Reginald",1,0.020744874083187096,0,0,250653,-0.3866707201133388,,2,8,1,1,18,3,2,250653.0
180,0,3,"Leonard, Mr. Lionel",1,0.4569999715764027,0,0,LINE,-0.6484216535389205,,2,8,1,1,19,3,2,112379.0
181,0,3,"Sage, Miss. Constance Gladys",0,-0.7772413167821365,8,2,CA. 2343,0.7519458402879414,,2,8,11,0,28,2,1,2343.0
182,0,2,"Pernot, Mr. Rene",1,-0.1338954397810053,0,0,SC/PARIS 2131,-0.34539461138084326,,0,8,1,1,16,3,2,2131.0
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",1,-1.5061479671430675,4,2,347077,-0.016444159470040146,,2,8,7,0,37,2,0,347077.0
